,Model,CC3M BLEU,CC3M METEOR,CC3M BERT,CC3M CLIP,COCO BLEU,COCO METEOR,COCO BERT,COCO CLIP
0,Official-ClipCap-COCO,1.47,11.34,0.8678,0.273,3158.66,28.17,0.9202,0.3016
1,Official-ClipCap-Conceptual,6.72,17.61,0.8783,0.2908,1065.68,13.44,0.8895,0.2938
2,LORA-MLP-DER-Beam,6.5600000000000005,17.48,0.879,0.2918,1999.1399999999999,20.46,0.9089,0.2989
3,LORA-MLP-DER-Sample,5.06,15.659999999999998,0.879,0.2887,1592.48,19.09,0.9074,0.2953
4,LORA-MLP-DERPP-Beam,6.52,17.380000000000003,0.8791,0.2918,2140.89,21.279999999999998,0.9111,0.2997
5,LORA-MLP-DERPP-Sample,5.08,15.57,0.8788,0.2893,1700.01,19.7,0.9097,0.2956
